2024-06-03 00:00:59,817 INFO c.n.d.s.r.a.ConfigClusterResolver [AsyncResolver-bootstrap-executor-0] Resolving eureka endpoints via configuration
2024-06-03 18:00:13,428 INFO o.h.v.i.u.Version [background-preinit] HV000001: Hibernate Validator 8.0.1.Final
2024-06-03 18:00:13,468 INFO o.s.b.StartupInfoLogger [restartedMain] Starting Application using Java 21.0.1 with PID 26244 (E:\RTB projects\ws\movie.fav\target\classes started by chama in E:\RTB projects\ws\movie.fav)
2024-06-03 18:00:13,469 INFO o.s.b.SpringApplication [restartedMain] The following 1 profile is active: "dev"
2024-06-03 18:00:13,520 INFO o.s.b.l.DeferredLog [restartedMain] Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-03 18:00:13,536 INFO o.s.b.l.DeferredLog [restartedMain] For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-03 18:00:15,319 INFO o.s.d.r.c.RepositoryConfigurationDelegate [restartedMain] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-03 18:00:15,448 INFO o.s.d.r.c.RepositoryConfigurationDelegate [restartedMain] Finished Spring Data repository scanning in 119 ms. Found 1 JPA repository interface.
2024-06-03 18:00:15,850 INFO o.s.c.c.s.GenericScope [restartedMain] BeanFactory id=14b3ce5c-9aab-3b22-bcc9-3e7b8b48fb15
2024-06-03 18:00:16,268 WARN o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [restartedMain] Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2024-06-03 18:00:16,273 WARN o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [restartedMain] Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2024-06-03 18:00:16,770 INFO o.s.b.w.e.t.TomcatWebServer [restartedMain] Tomcat initialized with port 8083 (http)
2024-06-03 18:00:16,779 INFO o.a.j.l.DirectJDKLog [restartedMain] Initializing ProtocolHandler ["http-nio-8083"]
2024-06-03 18:00:16,781 INFO o.a.j.l.DirectJDKLog [restartedMain] Starting service [Tomcat]
2024-06-03 18:00:16,781 INFO o.a.j.l.DirectJDKLog [restartedMain] Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-06-03 18:00:16,840 INFO o.a.j.l.DirectJDKLog [restartedMain] Initializing Spring embedded WebApplicationContext
2024-06-03 18:00:16,840 INFO o.s.b.w.s.c.ServletWebServerApplicationContext [restartedMain] Root WebApplicationContext: initialization completed in 3304 ms
2024-06-03 18:00:17,443 INFO c.z.h.HikariDataSource [restartedMain] HikariPool-1 - Starting...
2024-06-03 18:00:17,622 INFO c.z.h.p.HikariPool [restartedMain] HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:4c96d1ff-a78b-4d10-8e2c-669825d65a36 user=SA
2024-06-03 18:00:17,624 INFO c.z.h.HikariDataSource [restartedMain] HikariPool-1 - Start completed.
2024-06-03 18:00:17,635 INFO o.s.b.a.h.H2ConsoleAutoConfiguration [restartedMain] H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:4c96d1ff-a78b-4d10-8e2c-669825d65a36'
2024-06-03 18:00:17,988 INFO l.l.c.JavaLogger [restartedMain] Set default schema name to PUBLIC
2024-06-03 18:00:18,255 INFO l.l.c.JavaLogger [restartedMain] Logging exception.
2024-06-03 18:00:18,256 INFO l.l.c.JavaLogger [restartedMain] ERROR: Exception Details
2024-06-03 18:00:18,256 INFO l.l.c.JavaLogger [restartedMain] ERROR: Exception Primary Class:  ChangeLogParseException
2024-06-03 18:00:18,257 INFO l.l.c.JavaLogger [restartedMain] ERROR: Exception Primary Reason:  classpath:/db/changelog/db.changelog-master.yaml does not exist
2024-06-03 18:00:18,257 INFO l.l.c.JavaLogger [restartedMain] ERROR: Exception Primary Source:  4.27.0
2024-06-03 18:00:18,258 INFO l.l.c.JavaLogger [restartedMain] Command execution complete
